"filename","mentions","full.filename.txt","ObjectID","Name","File.Size","File.Size.in.Bytes","Num.PDFPages","COUNTRY","YEAR","EVENTTYPE","INTERNALEVENTNUM","INTERNALSYSNUM","SOURCE","TRANSLATOR","PUBLISHER","no.text","not.in.chronology","duplicated","language","not.available.in.english","txt.size","has.mention","year.has.mention","earliest.dem","latest.dem","latest.dem.not.amendment","last.constitution.in.force","first.constitution.in.force","mentions.only.in.amendment","has.gaps","gap.years","democracy.event"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/EuropeanConventionofHumanRightsEnglishPrivate_11111.txt","/democracy  and  on  the  other  by  a /common  understanding  and  observance /the  interests  of  morals,  public  order  or /national security in a democratic society, /where  the  interests  of  juveniles  or  the /with  the  law  and  is  necessary  in  a /democratic  society  in  the  interests  of /national  security,  public  safety  or  the /limitations  as  are  prescribed  by  law  and /are  necessary  in  a  democratic  society  in /the  interests  of  public  safety,  for  the /penalties  as  are  prescribed  by  law  and /are necessary  in a democratic society,  in /the /such  as  are  prescribed  by  law  and  are /necessary  in  a  democratic  society  in  the /interests  of  national  security  or  public /such  as  are  in  accordance  with  law  and /are  necessary  in  a  democratic  society  in /the  interests  of  national  security  or /with  law  and  justified  by  the  public /interest in a democratic society. //Convinced  that  everyone’s  right  to  life  is /a basic value in a democratic society and /that  the  abolition  of  the death penalty  is","EuropeanConventionofHumanRightsEnglishPrivate_11111.txt",11111,"European Convention of Human Rights","808K",808364,22,"",NA,"international convention",NA,NA,"http://www.echr.coe.int/ECHR/EN/Header/Basic+Texts/The+Convention+and+additional+protocols/The+European+Convention+on+Human+Rights/","Not Specified","European Court of Human Rights",FALSE,TRUE,NA,"English",FALSE,79896,TRUE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,"international convention"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/UniversalDeclarationofHumanRights_1948EnglishPrivate_7749.txt","and of meeting the just requirements of morality, public order and the /general welfare in a democratic society.  /","UniversalDeclarationofHumanRights_1948EnglishPrivate_7749.txt",7749,"Universal Declaration of Human Rights 1948","118K",118290,8,"",NA,"international convention",NA,NA,"http://www.ohchr.org/EN/UDHR/Pages/Language.aspx?LangID=eng","Not Specified","Office of the United Nations High Commissioner for Human Rights",FALSE,TRUE,NA,"English",FALSE,11534,TRUE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,"international convention"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1923EnglishPrivate_1.txt",NA,"Afghanistan_1923EnglishPrivate_1.txt",1,"Afghanistan's Constitution of 1923","28K",28403,13,"Afghanistan",1923,"new",1,819,"Afghanistan Online","Ansari, M.A., Leon B. Poullada, and Faruq Farhang","A. Qazi",FALSE,FALSE,FALSE,"English",FALSE,24624,FALSE,FALSE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,NA
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1925EnglishPrivate_11544.txt",NA,"Afghanistan_1925EnglishPrivate_11544.txt",11544,"Afghanistan's Constitution of 1923 with Amendments through 1925","28K",28403,13,"Afghanistan",1925,"amendment",1934,819,"Afghanistan Online","Ansari, M.A., Leon B. Poullada, and Faruq Farhang","A. Qazi",FALSE,FALSE,FALSE,"English",FALSE,24624,FALSE,FALSE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,NA
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1931EnglishPrivate_2.txt",NA,"Afghanistan_1931EnglishPrivate_2.txt",2,"Afghanistan's Constitution of 1931","573K",573758,12,"Afghanistan",1931,"new",2,820,"Constitutions of Nations","British and Foreign State Papers","Rumford Press, The",FALSE,FALSE,FALSE,"English",FALSE,29565,FALSE,FALSE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,NA
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1933EnglishPrivate_3.txt",NA,"Afghanistan_1933EnglishPrivate_3.txt",3,"Afghanistan's Constitution of 1931 with Amendments through 1933","565K",565959,12,"Afghanistan",1933,"amendment",1266,820,"Constitutions of Nations","British and Foreign State Papers","Rumford Press, The",FALSE,FALSE,FALSE,"English",FALSE,29150,FALSE,FALSE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,NA
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1964_8461.txt","/To establish political, economic and social democracy; /","Afghanistan_1964_8461.txt",8461,"Afghanistan's Constitution of 1964","194K",194304,38,"Afghanistan",1964,"new",3,821,"Constitutions of Afghanistan 1923-1996, The","Not Specified","Shah M Book Co",FALSE,FALSE,TRUE,"English",FALSE,68532,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1964EnglishPrivate_4.txt","national history and culture; to achieve justice and equality; to establish political,/economic and social democracy; to organize the functions of the state and its branches to/ensure liberty and welfare of the individual and the maintenance of the general order; to","Afghanistan_1964EnglishPrivate_4.txt",4,"Afghanistan's Constitution of 1964","58K",58901,27,"Afghanistan",1964,"new",3,821,"Constitution Finder","Not Specified","University of Richmond School of Law",FALSE,FALSE,TRUE,"English",FALSE,61701,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1977EnglishPrivate_5.txt","/ARTICLE FOUR: TO SECURE DEMOCRACY BASED ON SOCIAL JUSTICE AND THE/INTERESTS OF THE PEOPLE.//ARTICLE TWENTY: AFGHANISTAN IS A REPUBLICAN, DEMOCRATIC, INDEPENDENT,/UNITARY AND INDIVISIBLE STATE.","Afghanistan_1977EnglishPrivate_5.txt",5,"Afghanistan's Constitution of 1977","47K",47096,20,"Afghanistan",1977,"new",4,823,"Afghanistan Online","Not Specified","A. Qazi",FALSE,FALSE,FALSE,"English",FALSE,52051,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1979EnglishPrivate_6.txt","approved Constitution, laid down ""Basic Lines of the/Revolutionary Duties of the Government of the Democratic/Republic of Afghanistan"" on May 9, 1978. On May 14, 1978 the/Republic of Afghanistan"" on May 9, 1978. On May 14, 1978 the/Revolutionary Council of the Democratic Republic of Afghanistan/(DRA) issued Decree No. Three pertaining to the legal procedures//Article 1. The Revolutionary Council of the Democratic/Republic of Afghanistan is the supreme state power of the//In this law the Revolutionary Council of the Democratic/Republic of Afghanistan hereafter is referred to as the//• To approve the constitution of the Democratic//Article 10. The President of the Revolutionary Council heads the/Democratic Republic of Afghanistan ad guides all state organs/according to the provisions of this law as well as those of other//Democratic Republic of Afghanistan to foreign states.///Article 18. The Government of the Democratic Republic of/Afghanistan personifies the highest executive power and is//Article 22. In the Democratic Republic of Afghanistan the/legislative power is rested with the Revolutionary Council.//Article 24. The Council of Ministers of the Democratic Republic/of Afghanistan shall have the authority to:","Afghanistan_1979EnglishPrivate_6.txt",6,"Afghanistan's Constitution of 1979","201K",201423,7,"Afghanistan",1979,"interim",1267,825,"Constitutions of Afghanistan (1923-1996), The","Not Specified","Shah M Book Co",FALSE,FALSE,FALSE,"English",FALSE,9868,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"interim"
